epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,24.8823,1.6007,1.27911,0.87758,0.92556,0.59483,0.85175,0.55771,1.20853,2.34782,0.83835,0.000740778,0.000740778,0.000740778
68,25.2336,1.44871,1.12198,0.82647,0.92556,0.59483,0.85175,0.55771,1.20853,2.34782,0.83835,0.000746473,0.000746473,0.000746473
69,25.606,1.75995,1.58493,0.86024,0.91929,0.59071,0.87152,0.54853,1.22797,2.28244,0.8418,0.000752004,0.000752004,0.000752004
70,25.9577,1.28619,0.96023,0.86531,0.91929,0.59071,0.87152,0.54853,1.22797,2.28244,0.8418,0.000757369,0.000757369,0.000757369
71,26.3049,1.42349,1.05867,0.8398,0.91929,0.59071,0.87152,0.54853,1.22797,2.28244,0.8418,0.000762569,0.000762569,0.000762569
72,26.6754,1.39198,1.10125,0.83561,0.95364,0.51783,0.89515,0.60076,1.16996,2.14827,0.84287,0.000767604,0.000767604,0.000767604
73,27.0257,1.35111,1.07557,0.83395,0.95364,0.51783,0.89515,0.60076,1.16996,2.14827,0.84287,0.000772474,0.000772474,0.000772474
74,27.3883,1.6448,1.24959,0.88522,0.95364,0.51783,0.89515,0.60076,1.16996,2.14827,0.84287,0.00077718,0.00077718,0.00077718
75,27.7657,1.69076,1.07187,0.85992,0.95859,0.39566,0.93463,0.63178,1.11458,2.02402,0.83967,0.00078172,0.00078172,0.00078172
76,28.1265,1.22244,1.059,0.83297,0.95859,0.39566,0.93463,0.63178,1.11458,2.02402,0.83967,0.000786095,0.000786095,0.000786095
77,28.497,1.53088,1.10924,0.84619,0.95859,0.39566,0.93463,0.63178,1.11458,2.02402,0.83967,0.000790305,0.000790305,0.000790305
78,28.8741,1.35317,1.14904,0.86373,0.96662,0.49934,0.99267,0.70481,1.05464,1.85453,0.83899,0.00079435,0.00079435,0.00079435
79,29.2287,1.41849,1.11631,0.86704,0.96662,0.49934,0.99267,0.70481,1.05464,1.85453,0.83899,0.00079823,0.00079823,0.00079823
80,29.5981,1.75383,1.31052,0.85503,0.96662,0.49934,0.99267,0.70481,1.05464,1.85453,0.83899,0.000801945,0.000801945,0.000801945
81,29.9737,1.37726,1.02212,0.86814,0.95783,0.5,0.995,0.69988,1.14667,1.80825,0.84487,0.000805494,0.000805494,0.000805494
82,30.3291,1.37596,0.98425,0.83131,0.95783,0.5,0.995,0.69988,1.14667,1.80825,0.84487,0.000808879,0.000808879,0.000808879
83,30.697,1.5876,1.25684,0.84302,0.95783,0.5,0.995,0.69988,1.14667,1.80825,0.84487,0.000812099,0.000812099,0.000812099
84,31.059,1.39644,1.00879,0.82222,0.96376,0.5,0.995,0.66256,1.22684,1.80735,0.85283,0.000815154,0.000815154,0.000815154
85,31.4208,1.43966,1.03639,0.84369,0.96376,0.5,0.995,0.66256,1.22684,1.80735,0.85283,0.000818044,0.000818044,0.000818044
86,31.7706,1.25151,0.93552,0.85121,0.96376,0.5,0.995,0.66256,1.22684,1.80735,0.85283,0.000820768,0.000820768,0.000820768
87,32.1191,1.28896,0.93269,0.82693,0.96376,0.5,0.995,0.66256,1.22684,1.80735,0.85283,0.000823328,0.000823328,0.000823328
88,32.4828,1.38058,1.05616,0.84238,0.97621,0.55238,0.995,0.7022,1.16628,1.7705,0.8465,0.000825723,0.000825723,0.000825723
89,32.8292,1.57579,1.10599,0.84674,0.97621,0.55238,0.995,0.7022,1.16628,1.7705,0.8465,0.000827952,0.000827952,0.000827952
90,33.1928,1.45842,1.00145,0.83009,0.97621,0.55238,0.995,0.7022,1.16628,1.7705,0.8465,0.000830017,0.000830017,0.000830017
91,33.5619,1.4604,1.12779,0.8273,0.97621,0.55238,0.995,0.7022,1.16628,1.7705,0.8465,0.000831916,0.000831916,0.000831916
92,33.9266,1.39319,1.10472,0.85392,0.98045,0.59167,0.995,0.71345,1.06324,1.74015,0.83469,0.000833651,0.000833651,0.000833651
93,34.2917,1.34937,1.06741,0.83522,0.98045,0.59167,0.995,0.71345,1.06324,1.74015,0.83469,0.00083522,0.00083522,0.00083522
94,34.649,1.20363,1.09602,0.78935,0.98045,0.59167,0.995,0.71345,1.06324,1.74015,0.83469,0.000836625,0.000836625,0.000836625
95,35.0102,1.43794,1.12392,0.86264,0.98045,0.59167,0.995,0.71345,1.06324,1.74015,0.83469,0.000837864,0.000837864,0.000837864
96,35.4012,1.09314,0.93195,0.87818,0.98125,0.65632,0.995,0.72504,1.0138,1.71348,0.83738,0.000838939,0.000838939,0.000838939
97,35.769,1.55431,1.11777,0.8675,0.98125,0.65632,0.995,0.72504,1.0138,1.71348,0.83738,0.000839848,0.000839848,0.000839848
98,36.143,1.41922,1.03724,0.86194,0.98125,0.65632,0.995,0.72504,1.0138,1.71348,0.83738,0.000840592,0.000840592,0.000840592
99,36.5228,1.16614,1.01292,0.83224,0.98125,0.65632,0.995,0.72504,1.0138,1.71348,0.83738,0.000841172,0.000841172,0.000841172
100,36.8976,1.45751,1.02822,0.8532,0.98186,0.67946,0.995,0.72844,1.04764,1.72882,0.8467,0.000841586,0.000841586,0.000841586
101,37.2752,1.59387,1.1767,0.86091,0.98186,0.67946,0.995,0.72844,1.04764,1.72882,0.8467,0.000841835,0.000841835,0.000841835
102,37.6401,1.11879,0.81008,0.86835,0.98186,0.67946,0.995,0.72844,1.04764,1.72882,0.8467,0.000833583,0.000833583,0.000833583
103,38.0061,2.52013,1.73735,0.88847,0.98186,0.67946,0.995,0.72844,1.04764,1.72882,0.8467,0.000825332,0.000825332,0.000825332
104,38.3901,1.30093,0.91399,0.83506,0.98199,0.70173,0.995,0.64388,1.21537,1.74665,0.8609,0.00081708,0.00081708,0.00081708
105,38.7452,1.33464,1.01165,0.85515,0.98199,0.70173,0.995,0.64388,1.21537,1.74665,0.8609,0.000808828,0.000808828,0.000808828
106,39.1086,1.57536,1.01056,0.8366,0.98199,0.70173,0.995,0.64388,1.21537,1.74665,0.8609,0.000800577,0.000800577,0.000800577
107,39.4747,1.21099,0.96143,0.82709,0.98199,0.70173,0.995,0.64388,1.21537,1.74665,0.8609,0.000792325,0.000792325,0.000792325
108,39.8394,1.32608,0.92843,0.83386,0.97904,0.71115,0.995,0.61846,1.26185,1.67265,0.86402,0.000784073,0.000784073,0.000784073
109,40.2048,1.50738,1.0533,0.86297,0.97904,0.71115,0.995,0.61846,1.26185,1.67265,0.86402,0.000775822,0.000775822,0.000775822
110,40.5572,1.42601,0.93516,0.83859,0.97904,0.71115,0.995,0.61846,1.26185,1.67265,0.86402,0.00076757,0.00076757,0.00076757
111,40.909,1.21204,0.9067,0.80878,0.97904,0.71115,0.995,0.61846,1.26185,1.67265,0.86402,0.000759318,0.000759318,0.000759318
112,41.2838,1.36097,1.05136,0.83412,0.97406,0.82998,0.995,0.66632,1.11924,1.44294,0.84911,0.000751067,0.000751067,0.000751067
113,41.6399,1.32438,0.92291,0.80954,0.97406,0.82998,0.995,0.66632,1.11924,1.44294,0.84911,0.000742815,0.000742815,0.000742815
114,42.0104,1.1869,0.89385,0.80992,0.97406,0.82998,0.995,0.66632,1.11924,1.44294,0.84911,0.000734564,0.000734564,0.000734564
115,42.3755,1.79451,1.15019,0.88166,0.97406,0.82998,0.995,0.66632,1.11924,1.44294,0.84911,0.000726312,0.000726312,0.000726312
116,42.7412,1.56771,1.09926,0.78883,0.97247,0.98394,0.995,0.69153,1.06925,1.27055,0.8447,0.00071806,0.00071806,0.00071806
117,43.1075,1.15964,0.77495,0.82126,0.97247,0.98394,0.995,0.69153,1.06925,1.27055,0.8447,0.000709809,0.000709809,0.000709809
118,43.4589,1.38555,0.95686,0.82083,0.97247,0.98394,0.995,0.69153,1.06925,1.27055,0.8447,0.000701557,0.000701557,0.000701557
119,43.8081,1.16037,0.82388,0.82768,0.97247,0.98394,0.995,0.69153,1.06925,1.27055,0.8447,0.000693305,0.000693305,0.000693305
120,44.1779,1.68345,1.02919,0.83259,0.92647,1,0.99267,0.69293,1.15527,1.16384,0.84729,0.000685054,0.000685054,0.000685054
121,44.5297,1.31744,0.98043,0.86484,0.92647,1,0.99267,0.69293,1.15527,1.16384,0.84729,0.000676802,0.000676802,0.000676802
122,44.8916,1.6863,1.22074,0.85265,0.92647,1,0.99267,0.69293,1.15527,1.16384,0.84729,0.00066855,0.00066855,0.00066855
123,45.2468,1.13046,0.87749,0.82555,0.92647,1,0.99267,0.69293,1.15527,1.16384,0.84729,0.000660299,0.000660299,0.000660299
124,45.6085,1.43464,1.06906,0.84926,0.92927,1,0.988,0.66579,1.26782,1.08536,0.85295,0.000652047,0.000652047,0.000652047
125,45.9575,1.21656,0.81222,0.80623,0.92927,1,0.988,0.66579,1.26782,1.08536,0.85295,0.000643795,0.000643795,0.000643795
126,46.3113,1.67779,1.14924,0.85535,0.92927,1,0.988,0.66579,1.26782,1.08536,0.85295,0.000635544,0.000635544,0.000635544
127,46.66,1.26504,0.86546,0.83351,0.92927,1,0.988,0.66579,1.26782,1.08536,0.85295,0.000627292,0.000627292,0.000627292
128,47.0246,1.50065,1.05,0.85614,0.92663,1,0.988,0.6722,1.2348,0.97934,0.85629,0.00061904,0.00061904,0.00061904
129,47.377,1.20048,0.81213,0.80591,0.92663,1,0.988,0.6722,1.2348,0.97934,0.85629,0.000610789,0.000610789,0.000610789
130,47.7275,1.56679,1.10197,0.81499,0.92663,1,0.988,0.6722,1.2348,0.97934,0.85629,0.000602537,0.000602537,0.000602537
131,48.0873,1.12283,0.77574,0.83535,0.92663,1,0.988,0.6722,1.2348,0.97934,0.85629,0.000594286,0.000594286,0.000594286
132,48.4489,1.08459,0.78466,0.83356,0.96277,1,0.995,0.658,1.27794,0.90422,0.85598,0.000586034,0.000586034,0.000586034
133,48.7976,1.35278,0.93671,0.83799,0.96277,1,0.995,0.658,1.27794,0.90422,0.85598,0.000577782,0.000577782,0.000577782
134,49.1614,1.67598,1.0722,0.86037,0.96277,1,0.995,0.658,1.27794,0.90422,0.85598,0.000569531,0.000569531,0.000569531
135,49.5228,1.12015,0.74383,0.81183,0.96277,1,0.995,0.658,1.27794,0.90422,0.85598,0.000561279,0.000561279,0.000561279
136,49.8984,1.14928,0.80191,0.8454,0.97192,1,0.995,0.68861,1.15681,0.8412,0.84784,0.000553027,0.000553027,0.000553027
137,50.2595,1.29105,0.91767,0.8412,0.97192,1,0.995,0.68861,1.15681,0.8412,0.84784,0.000544776,0.000544776,0.000544776
138,50.6805,1.31978,0.91225,0.84498,0.97192,1,0.995,0.68861,1.15681,0.8412,0.84784,0.000536524,0.000536524,0.000536524
139,51.0427,1.08576,0.76626,0.79975,0.97192,1,0.995,0.68861,1.15681,0.8412,0.84784,0.000528272,0.000528272,0.000528272
140,51.4298,1.29783,0.85808,0.84578,0.97679,1,0.995,0.70735,1.12325,0.81323,0.84959,0.000520021,0.000520021,0.000520021
141,51.7803,1.16162,0.83051,0.8326,0.97679,1,0.995,0.70735,1.12325,0.81323,0.84959,0.000511769,0.000511769,0.000511769
142,52.1302,1.52259,0.94483,0.84393,0.97679,1,0.995,0.70735,1.12325,0.81323,0.84959,0.000503517,0.000503517,0.000503517
143,52.4945,1.49211,0.96375,0.84232,0.97679,1,0.995,0.70735,1.12325,0.81323,0.84959,0.000495266,0.000495266,0.000495266
144,52.8707,1.35328,0.91458,0.82723,0.97666,1,0.995,0.70004,1.17345,0.82075,0.8565,0.000487014,0.000487014,0.000487014
145,53.2255,1.3004,0.88974,0.84078,0.97666,1,0.995,0.70004,1.17345,0.82075,0.8565,0.000478762,0.000478762,0.000478762
146,53.5746,1.16806,1.03413,0.837,0.97666,1,0.995,0.70004,1.17345,0.82075,0.8565,0.000470511,0.000470511,0.000470511
147,53.9314,0.9638,0.7856,0.82278,0.97666,1,0.995,0.70004,1.17345,0.82075,0.8565,0.000462259,0.000462259,0.000462259
148,54.2917,1.08945,0.73256,0.82554,0.97804,1,0.995,0.74143,1.08356,0.81005,0.85206,0.000454007,0.000454007,0.000454007
149,54.6549,1.48531,1.15736,0.86394,0.97804,1,0.995,0.74143,1.08356,0.81005,0.85206,0.000445756,0.000445756,0.000445756
150,55.0151,1.22603,0.88004,0.81973,0.97804,1,0.995,0.74143,1.08356,0.81005,0.85206,0.000437504,0.000437504,0.000437504
151,55.3771,1.41324,1.04005,0.8489,0.97804,1,0.995,0.74143,1.08356,0.81005,0.85206,0.000429253,0.000429253,0.000429253
152,55.7483,1.15,0.85147,0.83813,0.97917,1,0.995,0.72439,1.07592,0.80782,0.84946,0.000421001,0.000421001,0.000421001
153,56.0961,1.23955,0.94892,0.83836,0.97917,1,0.995,0.72439,1.07592,0.80782,0.84946,0.000412749,0.000412749,0.000412749
154,56.4509,1.163,0.70405,0.81096,0.97917,1,0.995,0.72439,1.07592,0.80782,0.84946,0.000404498,0.000404498,0.000404498
155,56.8119,1.34203,0.94294,0.83286,0.97917,1,0.995,0.72439,1.07592,0.80782,0.84946,0.000396246,0.000396246,0.000396246
156,57.1738,1.28594,0.98807,0.82681,0.98126,1,0.995,0.70409,1.1671,0.81009,0.84967,0.000387994,0.000387994,0.000387994
157,57.5223,1.06906,0.74152,0.8187,0.98126,1,0.995,0.70409,1.1671,0.81009,0.84967,0.000379743,0.000379743,0.000379743
158,57.8861,1.04035,0.81749,0.80983,0.98126,1,0.995,0.70409,1.1671,0.81009,0.84967,0.000371491,0.000371491,0.000371491
159,58.2531,1.03368,0.78837,0.83788,0.98126,1,0.995,0.70409,1.1671,0.81009,0.84967,0.000363239,0.000363239,0.000363239
160,58.6246,1.24293,0.89025,0.83024,0.97998,1,0.995,0.69698,1.18638,0.76771,0.84649,0.000354988,0.000354988,0.000354988
161,58.9785,1.35479,0.89548,0.83318,0.97998,1,0.995,0.69698,1.18638,0.76771,0.84649,0.000346736,0.000346736,0.000346736
162,59.3423,1.05639,0.78523,0.83048,0.97998,1,0.995,0.69698,1.18638,0.76771,0.84649,0.000338484,0.000338484,0.000338484
163,59.6998,1.19496,0.86904,0.81823,0.97998,1,0.995,0.69698,1.18638,0.76771,0.84649,0.000330233,0.000330233,0.000330233
164,60.0616,1.13012,0.85152,0.82692,0.97913,1,0.995,0.71244,1.17043,0.7263,0.84616,0.000321981,0.000321981,0.000321981
165,60.4204,1.12822,0.77667,0.81166,0.97913,1,0.995,0.71244,1.17043,0.7263,0.84616,0.000313729,0.000313729,0.000313729
166,60.7721,1.27368,0.97482,0.84661,0.97913,1,0.995,0.71244,1.17043,0.7263,0.84616,0.000305478,0.000305478,0.000305478
167,61.1351,1.23488,0.81292,0.82883,0.97913,1,0.995,0.71244,1.17043,0.7263,0.84616,0.000297226,0.000297226,0.000297226
168,61.513,1.34051,0.89971,0.81235,0.97956,1,0.995,0.69628,1.21646,0.70027,0.84867,0.000288974,0.000288974,0.000288974
169,61.8709,1.10572,0.88247,0.8222,0.97956,1,0.995,0.69628,1.21646,0.70027,0.84867,0.000280723,0.000280723,0.000280723
170,62.2388,1.15658,0.77467,0.84054,0.97956,1,0.995,0.69628,1.21646,0.70027,0.84867,0.000272471,0.000272471,0.000272471
171,62.5991,1.56372,1.12029,0.85101,0.97956,1,0.995,0.69628,1.21646,0.70027,0.84867,0.00026422,0.00026422,0.00026422
172,62.9669,1.19048,0.83968,0.83009,0.9839,1,0.995,0.7131,1.14263,0.65317,0.84652,0.000255968,0.000255968,0.000255968
173,63.321,1.59816,1.05931,0.8333,0.9839,1,0.995,0.7131,1.14263,0.65317,0.84652,0.000247716,0.000247716,0.000247716
174,63.676,1.03656,0.81978,0.82336,0.9839,1,0.995,0.7131,1.14263,0.65317,0.84652,0.000239465,0.000239465,0.000239465
175,64.0415,1.43229,1.05058,0.82982,0.9839,1,0.995,0.7131,1.14263,0.65317,0.84652,0.000231213,0.000231213,0.000231213
176,64.4253,1.2836,0.81825,0.85121,0.98642,1,0.995,0.74722,1.04644,0.62354,0.84312,0.000222961,0.000222961,0.000222961
177,64.7977,1.33471,0.91238,0.81472,0.98642,1,0.995,0.74722,1.04644,0.62354,0.84312,0.00021471,0.00021471,0.00021471
178,65.1733,0.97147,0.71729,0.79804,0.98642,1,0.995,0.74722,1.04644,0.62354,0.84312,0.000206458,0.000206458,0.000206458
179,65.5763,1.22338,0.78251,0.82792,0.98642,1,0.995,0.74722,1.04644,0.62354,0.84312,0.000198206,0.000198206,0.000198206
180,65.969,1.13503,0.77184,0.85359,0.98864,1,0.995,0.76638,0.99117,0.59958,0.84072,0.000189955,0.000189955,0.000189955
181,66.3381,1.20558,0.84001,0.83173,0.98864,1,0.995,0.76638,0.99117,0.59958,0.84072,0.000181703,0.000181703,0.000181703
182,66.7028,1.21675,0.82443,0.8381,0.98864,1,0.995,0.76638,0.99117,0.59958,0.84072,0.000173451,0.000173451,0.000173451
183,67.0684,1.21964,0.87225,0.82296,0.98864,1,0.995,0.76638,0.99117,0.59958,0.84072,0.0001652,0.0001652,0.0001652
184,67.4473,1.3597,0.94974,0.82827,0.98978,1,0.995,0.75529,0.98714,0.59663,0.8405,0.000156948,0.000156948,0.000156948
185,67.8107,1.03841,0.67599,0.80054,0.98978,1,0.995,0.75529,0.98714,0.59663,0.8405,0.000148696,0.000148696,0.000148696
